 Carsen Edwards<>SG<>BOS<>121<>24<>47<>12<>37<>
 Henry Ellenson<>C<>BRK<>2<>1<>6<>0<>5<>
 Wayne Ellington<>SG<>NYK<>183<>44<>65<>13<>36<>
 Joel Embiid<>C<>PHI<>1172<>152<>593<>45<>51<>
 James Ennis III<>SF-SG<>none<>454<>63<>245<>35<>69<>
 James Ennis III<>SF<>PHI<>285<>41<>150<>23<>49<>
 James Ennis III<>SG<>ORL<>169<>22<>95<>12<>20<>
 Drew Eubanks<>C<>SAS<>107<>15<>85<>5<>22<>
 Jacob Evans<>SG<>none<>128<>31<>41<>11<>29<>
 Jacob Evans<>SG<>GSW<>128<>31<>41<>11<>27<>
 Jacob Evans<>SG<>MIN<>0<>0<>0<>0<>2<>
 Dante Exum<>SG<>none<>159<>40<>67<>13<>35<>
 Dante Exum<>SG<>UTA<>24<>7<>12<>1<>11<>
 Dante Exum<>SG<>CLE<>135<>33<>55<>12<>24<>
 Tacko Fall<>C<>BOS<>23<>1<>15<>1<>7<>
 Derrick Favors<>C<>NOP<>459<>81<>501<>30<>51<>
 Cristiano Felício<>C<>CHI<>86<>16<>102<>10<>22<>
 Terrance Ferguson<>SF<>OKC<>220<>51<>74<>27<>56<>
 Bruno Fernando<>C<>ATL<>240<>49<>198<>18<>56<>
 Yogi Ferrell<>PG<>SAC<>218<>69<>49<>18<>50<>
 Dorian Finney-Smith<>PF<>DAL<>678<>114<>405<>45<>71<>
 Bryn Forbes<>SG<>SAS<>707<>108<>126<>33<>63<>
 Evan Fournier<>SF<>ORL<>1221<>209<>171<>71<>66<>
 De'Aaron Fox<>PG<>SAC<>1077<>348<>196<>74<>51<>
 Melvin Frazier<>SG<>ORL<>40<>3<>10<>9<>19<>
 Michael Frazier<>SG<>HOU<>27<>2<>10<>2<>13<>
 Tim Frazier<>PG<>DET<>97<>93<>33<>14<>27<>
 Enes Freedom<>C<>BOS<>469<>56<>431<>22<>58<>
 Markelle Fultz<>PG<>ORL<>870<>369<>238<>90<>72<>
 Wenyen Gabriel<>PF<>none<>63<>8<>52<>11<>30<>
 Wenyen Gabriel<>PF<>SAC<>19<>3<>10<>3<>11<>
 Wenyen Gabriel<>PF<>POR<>44<>5<>42<>8<>19<>
 Daniel Gafford<>C<>CHI<>220<>21<>106<>13<>43<>
 Danilo Gallinari<>PF<>OKC<>1160<>119<>322<>42<>62<>
 Langston Galloway<>SG<>DET<>677<>101<>149<>48<>66<>
 Darius Garland<>SG<>CLE<>728<>229<>111<>42<>59<>
 Marc Gasol<>C<>TOR<>331<>147<>275<>34<>44<>
 Rudy Gay<>PF<>SAS<>726<>114<>362<>35<>67<>
 Paul George<>SF<>LAC<>1033<>185<>272<>68<>48<>
 Taj Gibson<>C<>NYK<>379<>52<>267<>27<>62<>
 Harry Giles<>C<>SAC<>316<>60<>188<>22<>46<>
 Shai Gilgeous-Alexander<>SG<>OKC<>1331<>232<>412<>79<>70<>
 Rudy Gobert<>C<>UTA<>1026<>101<>916<>51<>68<>
 Brandon Goodwin<>PG<>ATL<>206<>51<>72<>12<>34<>
 Aaron Gordon<>PF<>ORL<>894<>228<>475<>51<>62<>
 Eric Gordon<>SF<>HOU<>520<>54<>71<>23<>36<>
 Devonte' Graham<>PG<>CHO<>1145<>471<>212<>62<>63<>
 Treveon Graham<>SF<>none<>243<>45<>150<>24<>55<>
 Treveon Graham<>SF<>MIN<>171<>30<>100<>17<>33<>
 Treveon Graham<>SF<>ATL<>72<>15<>50<>7<>22<>
 Jerami Grant<>PF<>DEN<>851<>88<>248<>50<>71<>
 Jerian Grant<>SG<>WAS<>27<>9<>6<>1<>6<>
 Josh Gray<>PG<>NOP<>2<>2<>2<>0<>2<>
 Danny Green<>SG<>LAL<>547<>91<>225<>85<>68<>
 Draymond Green<>PF<>GSW<>345<>266<>266<>59<>43<>
 JaMychal Green<>PF<>LAC<>430<>49<>388<>29<>63<>
 Javonte Green<>SG<>BOS<>163<>26<>93<>24<>48<>
 Jeff Green<>PF-C<>none<>453<>50<>133<>26<>48<>
 Jeff Green<>PF<>UTA<>233<>20<>81<>12<>30<>
 Jeff Green<>C<>HOU<>220<>30<>52<>14<>18<>
 Blake Griffin<>PF<>DET<>279<>59<>84<>7<>18<>
 Marko Guduric<>SG<>MEM<>173<>45<>73<>12<>44<>
 Kyle Guy<>SG<>SAC<>4<>1<>1<>0<>3<>
 Rui Hachimura<>PF<>WAS<>649<>87<>294<>37<>48<>
 Devon Hall<>PG<>OKC<>20<>13<>7<>4<>11<>
 Donta Hall<>C-PF<>none<>39<>4<>38<>3<>9<>
 Donta Hall<>PF<>DET<>6<>2<>15<>1<>4<>
 Donta Hall<>C<>BRK<>33<>2<>23<>2<>5<>
 Dusty Hannahs<>SG<>MEM<>12<>0<>1<>0<>2<>
 Tim Hardaway Jr.<>SG<>DAL<>1121<>137<>232<>41<>71<>
 James Harden<>SG<>HOU<>2335<>512<>446<>125<>68<>
 Maurice Harkless<>PF-SF<>none<>357<>68<>240<>58<>62<>
 Maurice Harkless<>PF<>LAC<>275<>48<>200<>49<>50<>
 Maurice Harkless<>SF<>NYK<>82<>20<>40<>9<>12<>
 Jared Harper<>PG<>PHO<>2<>0<>0<>0<>3<>
 Montrezl Harrell<>C<>LAC<>1173<>107<>445<>39<>63<>
 Gary Harris<>SG<>DEN<>581<>118<>163<>76<>56<>
 Joe Harris<>SF<>BRK<>998<>144<>298<>41<>69<>
 Tobias Harris<>PF<>PHI<>1411<>227<>495<>53<>72<>
 Shaquille Harrison<>SG<>CHI<>209<>49<>86<>34<>43<>
 Josh Hart<>SF<>NOP<>656<>108<>425<>63<>65<>
 Isaiah Hartenstein<>C<>HOU<>107<>18<>90<>9<>23<>
 Udonis Haslem<>C<>MIA<>12<>1<>16<>0<>4<>
 Jaxson Hayes<>C<>NOP<>472<>56<>259<>26<>64<>
 Gordon Hayward<>SF<>BOS<>909<>212<>348<>38<>52<>
 John Henson<>C<>none<>221<>54<>162<>24<>40<>
 John Henson<>C<>CLE<>145<>43<>114<>16<>29<>
 John Henson<>C<>DET<>76<>11<>48<>8<>11<>
 Dewan Hernandez<>C<>TOR<>14<>3<>14<>1<>6<>
